run,sim_minute,hour_of_day,zone_temp_c,outdoor_temp_c,occupancy_fraction,pmv,cooling_setpoint,heating_setpoint,fan_flow_fraction,instantaneous_kw,cumulative_kwh
ai_driven,375,6.25,24.96,29.39,0.05,0.79,27.5,16.5,0.3,0.02,0.127
ai_driven,390,6.5,25.17,29.78,0.05,0.86,27.5,16.5,0.3,0.02,0.132
ai_driven,405,6.75,25.41,30.17,0.05,0.93,27.5,16.5,0.3,0.02,0.137
ai_driven,420,7.0,25.68,30.55,0.05,1.02,27.5,16.5,0.3,0.02,0.142
ai_driven,435,7.25,25.92,30.93,0.05,1.09,27.5,16.5,0.3,0.02,0.147
ai_driven,450,7.5,26.19,31.3,0.05,1.18,27.5,16.5,0.3,0.02,0.152
ai_driven,465,7.75,26.47,31.65,0.05,1.27,27.5,16.5,0.3,0.02,0.157
ai_driven,480,8.0,26.74,32.0,1.0,1.36,27.5,16.5,0.3,0.02,0.162
ai_driven,495,8.25,26.0,32.33,1.0,1.12,22.8,20.5,1.0,6.75,1.849
ai_driven,510,8.5,25.28,32.65,1.0,0.89,22.8,20.5,1.0,6.75,3.537
ai_driven,525,8.75,24.61,32.96,1.0,0.68,22.8,20.5,1.0,6.75,5.224
ai_driven,540,9.0,24.0,33.24,1.0,0.48,22.8,20.5,1.0,6.75,6.912
ai_driven,555,9.25,23.85,33.51,1.0,0.43,22.8,20.5,1.0,4.965,8.153
ai_driven,570,9.5,23.81,33.76,1.0,0.42,22.8,20.5,1.0,4.414,9.257
ai_driven,585,9.75,23.96,33.99,1.0,0.47,23.0,19.5,0.6,3.004,10.008
ai_driven,600,10.0,24.02,34.2,1.0,0.49,23.0,19.5,0.75,3.67,10.925
ai_driven,615,10.25,23.88,34.38,1.0,0.44,22.8,20.5,1.0,5.009,12.177
ai_driven,630,10.5,23.86,34.54,1.0,0.43,22.8,20.5,1.0,4.544,13.313
ai_driven,645,10.75,23.89,34.68,1.0,0.44,22.8,20.5,1.0,4.447,14.425
ai_driven,660,11.0,23.9,34.8,1.0,0.45,22.8,20.5,1.0,4.559,15.565
ai_driven,675,11.25,23.88,34.88,1.0,0.44,22.8,20.5,1.0,4.587,16.712
ai_driven,690,11.5,23.9,34.95,1.0,0.45,22.8,20.5,1.0,4.518,17.841
ai_driven,705,11.75,23.9,34.99,1.0,0.45,22.8,20.5,1.0,4.588,18.988
ai_driven,720,12.0,23.93,35.0,1.0,0.46,22.8,20.5,1.0,4.604,20.139
ai_driven,735,12.25,23.92,34.99,1.0,0.46,22.8,20.5,1.0,4.688,21.311
ai_driven,750,12.5,23.89,34.95,1.0,0.45,22.8,20.5,1.0,4.677,22.48
ai_driven,765,12.75,23.93,34.88,1.0,0.46,22.8,20.5,1.0,4.58,23.625
ai_driven,780,13.0,23.88,34.8,1.0,0.44,22.8,20.5,1.0,4.698,24.8
ai_driven,795,13.25,23.88,34.68,1.0,0.44,22.8,20.5,1.0,4.53,25.932
ai_driven,810,13.5,23.9,34.54,1.0,0.45,22.8,20.5,1.0,4.542,27.068
ai_driven,825,13.75,23.86,34.38,1.0,0.43,22.8,20.5,1.0,4.596,28.217
ai_driven,840,14.0,23.86,34.2,1.0,0.44,22.8,20.5,1.0,4.455,29.331
ai_driven,855,14.25,23.83,33.99,1.0,0.42,22.8,20.5,1.0,4.468,30.448
ai_driven,870,14.5,23.85,33.76,1.0,0.43,22.8,20.5,1.0,4.343,31.533
ai_driven,885,14.75,23.84,33.51,1.0,0.43,22.8,20.5,1.0,4.412,32.636
ai_driven,900,15.0,23.82,33.24,1.0,0.42,22.8,20.5,1.0,4.407,33.738
ai_driven,915,15.25,23.97,32.96,1.0,0.47,23.0,19.5,0.6,3.033,34.496
ai_driven,930,15.5,23.95,32.65,1.0,0.46,23.0,19.5,0.75,3.702,35.422
